,Loan Defaulted or not
600,1.0
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,2.0
607,1.0
608,1.0
609,1.0
610,1.0
611,1.0
612,1.0
613,1.0
614,1.0
615,1.0
616,1.0
617,1.0
618,2.0
619,1.0
620,1.0
621,2.0
622,1.0
623,1.0
624,1.0
625,1.0
626,1.0
627,2.0
628,1.0
629,2.0
630,1.0
631,1.0
632,1.0
633,1.0
634,2.0
635,1.0
636,1.0
637,1.0
638,1.0
639,2.0
640,1.0
641,1.0
642,1.0
643,1.0
644,1.0
645,1.0
646,1.0
647,1.0
648,1.0
649,2.0
650,1.0
651,1.0
652,1.0
653,2.0
654,1.0
655,1.0
656,1.0
657,1.0
658,1.0
659,1.0
660,1.0
661,1.0
662,1.0
663,1.0
664,1.0
665,1.0
666,1.0
667,1.0
668,1.0
669,2.0
670,1.0
671,1.0
672,2.0
673,1.0
674,2.0
675,1.0
676,2.0
677,2.0
678,1.0
679,1.0
680,1.0
681,1.0
682,1.0
683,1.0
684,1.0
685,1.0
686,1.0
687,2.0
688,1.0
689,1.0
690,2.0
691,2.0
692,1.0
693,1.0
694,2.0
695,1.0
696,2.0
697,1.0
698,1.0
699,2.0
700,2.0
701,2.0
702,1.0
703,1.0
704,1.0
705,1.0
706,1.0
707,1.0
708,1.0
709,1.0
710,1.0
711,1.0
712,2.0
713,2.0
714,1.0
715,1.0
716,2.0
717,2.0
718,1.0
719,2.0
720,1.0
721,1.0
722,1.0
723,1.0
724,1.0
725,1.0
726,1.0
727,1.0
728,1.0
729,1.0
730,1.0
731,1.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
737,1.0
738,1.0
739,2.0
740,1.0
741,1.0
742,1.0
743,1.0
744,2.0
745,2.0
746,2.0
747,1.0
748,1.0
749,1.0
750,2.0
751,1.0
752,1.0
753,2.0
754,1.0
755,2.0
756,1.0
757,1.0
758,1.0
759,1.0
760,1.0
761,1.0
762,2.0
763,2.0
764,1.0
765,1.0
766,1.0
767,1.0
768,1.0
769,1.0
770,1.0
771,1.0
772,2.0
773,1.0
774,2.0
775,1.0
776,1.0
777,2.0
778,1.0
779,1.0
780,2.0
781,1.0
782,1.0
783,1.0
784,1.0
785,1.0
786,1.0
787,1.0
788,2.0
789,1.0
790,1.0
791,1.0
792,1.0
793,1.0
794,1.0
795,1.0
796,1.0
797,1.0
798,1.0
799,2.0
800,1.0
801,1.0
802,1.0
803,2.0
804,1.0
805,1.0
806,1.0
807,1.0
808,1.0
809,2.0
810,1.0
811,1.0
812,1.0
813,1.0
814,1.0
815,1.0
816,1.0
817,1.0
818,1.0
819,1.0
820,2.0
821,1.0
822,1.0
823,1.0
824,1.0
825,1.0
826,1.0
827,1.0
828,2.0
829,2.0
830,1.0
831,1.0
832,1.0
833,1.0
834,1.0
835,1.0
836,1.0
837,2.0
838,1.0
839,1.0
840,2.0
841,1.0
842,1.0
843,2.0
844,1.0
845,2.0
846,1.0
847,2.0
848,1.0
849,1.0
850,2.0
851,1.0
852,1.0
853,1.0
854,2.0
855,1.0
856,1.0
857,1.0
858,1.0
859,1.0
860,1.0
861,1.0
862,1.0
863,2.0
864,1.0
865,1.0
866,1.0
867,1.0
868,1.0
869,1.0
870,1.0
871,1.0
872,1.0
873,1.0
874,2.0
875,1.0
876,1.0
877,1.0
878,1.0
879,2.0
880,1.0
881,1.0
882,2.0
883,1.0
884,2.0
885,1.0
886,2.0
887,1.0
888,1.0
889,1.0
890,1.0
891,2.0
892,1.0
893,1.0
894,1.0
895,2.0
896,1.0
897,1.0
898,1.0
899,1.0
900,1.0
901,1.0
902,1.0
903,1.0
904,1.0
905,1.0
906,2.0
907,2.0
908,1.0
909,1.0
910,1.0
911,1.0
912,1.0
913,2.0
914,1.0
915,1.0
916,1.0
917,1.0
918,1.0
919,2.0
920,1.0
921,1.0
922,2.0
923,1.0
924,1.0
925,2.0
926,1.0
927,2.0
928,2.0
929,1.0
930,1.0
931,1.0
932,1.0
933,1.0
934,2.0
935,1.0
936,1.0
937,1.0
938,1.0
939,1.0
940,1.0
941,2.0
942,2.0
943,1.0
944,2.0
945,1.0
946,1.0
947,2.0
948,1.0
949,1.0
950,1.0
951,1.0
952,1.0
953,2.0
954,1.0
955,1.0
956,1.0
957,1.0
958,1.0
959,1.0
960,1.0
961,1.0
962,2.0
963,2.0
964,1.0
965,1.0
966,1.0
967,1.0
968,1.0
969,2.0
970,1.0
971,1.0
972,1.0
973,1.0
974,1.0
975,1.0
976,1.0
977,1.0
978,1.0
979,1.0
980,1.0
981,1.0
982,1.0
983,1.0
984,1.0
985,1.0
986,1.0
987,2.0
988,1.0
989,2.0
990,1.0
991,1.0
992,1.0
993,1.0
994,1.0
995,1.0
996,1.0
997,1.0
998,1.0
999,1.0
